"ticket_id","title","body","created_at","customer_plan","severity","source"
"CLIN-1001","Valid FHIR bundle rejected","Uploading our patient Bundle returns ""Uploaded JSON is not a FHIR Bundle"" even though resourceType is Bundle. File is from Epic export and opens fine in validator.","2026-05-01T09:05:00","Enterprise","high","email"
"CLIN-1002","FHIR upload says success but patient not in list","The upload panel shows parsed successfully, but the patient directory does not refresh unless I reload the browser.","2026-05-01T09:18:00","Enterprise","medium","web"
"CLIN-1003","Cannot upload JSON from Windows machine","A care coordinator saved the bundle from Windows and upload fails with UTF-8 decode error. Need clearer handling or message.","2026-05-01T09:37:00","Business","medium","chat"
"CLIN-1004","Duplicate patient after re-upload","I uploaded the same FHIR bundle twice. Expected update/idempotent behavior, but I see what looks like another copy of the patient.","2026-05-01T10:12:00","Enterprise","high","email"
"CLIN-1005","Upload button spins forever","Import FHIR Bundle never completes for a 4 MB bundle. No error appears, spinner just keeps going.","2026-05-01T10:26:00","Enterprise","high","web"
"CLIN-1006","AllergyIntolerance missing after upload","The bundle has AllergyIntolerance entries, but allergies are blank on the patient card after upload.","2026-05-01T11:04:00","Pro","medium","email"
"CLIN-1007","MedicationRequest not counted in upload summary","Upload summary says zero medications, but the bundle contains MedicationRequest resources.","2026-05-01T11:20:00","Business","medium","web"
"CLIN-1008","Bad JSON error is too vague","When I upload a malformed JSON file the message just says invalid JSON. It does not say which file or where parsing failed.","2026-05-01T12:15:00","Free","low","chat"
"CLIN-1009","Non-admin cannot see upload panel after role switch","Logged in as data_reviewer and expected upload/import tools, but the upload panel is hidden until hard refresh.","2026-05-01T13:05:00","Enterprise","medium","email"
"CLIN-1010","Upload accepts bundle but source metadata missing","Imported patient records show on the chart, but source labels/citations do not include the uploaded filename.","2026-05-01T13:42:00","Enterprise","high","web"
"CLIN-1011","SMART patient search returns empty results","Searching SMART Health IT sandbox for Smith returns no patients in the app, but the sandbox has matching Patient resources.","2026-05-01T14:03:00","Enterprise","high","email"
"CLIN-1012","External FHIR import fails with 502","Importing a SMART patient intermittently fails with 502. The UI does not show whether the patient was partially imported.","2026-05-01T14:28:00","Enterprise","high","web"
"CLIN-1013","SMART import creates duplicate local patient","I imported the same SMART patient twice and got two patient rows instead of an update.","2026-05-01T15:02:00","Business","high","email"
"CLIN-1014","External search count ignored","I set count to 10 but the panel still shows a tiny result set. Looks like the API limit/count setting is not respected.","2026-05-01T15:19:00","Pro","medium","chat"
"CLIN-1015","SMART import never refreshes patient directory","After importing from SMART, the success message appears but the patient list stays stale until refresh.","2026-05-01T15:43:00","Enterprise","medium","web"
"CLIN-1016","External FHIR patient name search is inconsistent","Searching patient last name works sometimes, first name often returns unrelated patients.","2026-05-01T16:04:00","Business","medium","email"
"CLIN-1017","SMART import loses encounter dates","Imported SMART patient has encounters but the timeline shows them with missing or unknown dates.","2026-05-01T16:32:00","Enterprise","high","web"
"CLIN-1018","External FHIR panel hidden for admin","Signed in as admin but the external FHIR import panel did not render on the dashboard.","2026-05-01T17:01:00","Enterprise","medium","chat"
"CLIN-1019","SMART source not shown in citations","Records imported from SMART are mixed with local uploads and citation chips do not identify the SMART sandbox source.","2026-05-01T17:44:00","Enterprise","high","email"
"CLIN-1020","External import success but audit log missing","Imported a SMART patient successfully, but audit logs do not show external_fhir_patient_imported.","2026-05-01T18:06:00","Enterprise","medium","web"
"CLIN-1021","Patient search misses obvious match","Patient directory search does not find Avery when Avery Brooks is visible in the seeded data.","2026-05-02T08:11:00","Pro","medium","web"
"CLIN-1022","Patient list pagination repeats rows","When I move through patient list pages, the same patients repeat. Offset does not seem to change results.","2026-05-02T08:32:00","Business","medium","email"
"CLIN-1023","Patient directory slow with generated hospital data","After loading 1000 synthetic patients, the patient directory takes several seconds to search each name.","2026-05-02T09:00:00","Enterprise","high","web"
"CLIN-1024","Patient chart opens wrong patient","Clicked one patient from search results but the chart header showed a different patient name.","2026-05-02T09:22:00","Enterprise","critical","email"
"CLIN-1025","No empty state for patient search","Searching a non-existent MRN leaves the previous results on screen. It should show no matches.","2026-05-02T09:47:00","Free","low","chat"
